,800_1730.NEF,800_1737.NEF,800_1743.NEF,800_1746.NEF,800_1747.NEF
0,1.1505873280367413e-05,0.0003036944973739083,0.008440851773743223,0.026979428599615208,0.014787772240522738
1,0.003471250401054004,0.02344404258912758,0.028975477405657896,0.043292389674089805,0.07259570189020027
2,0.043266047280000546,0.0963717081916753,0.042024514006226164,0.07105413507873211,0.03382652424193912
3,0.08328504353183845,0.17379093090552433,0.032356745271416396,0.06614465051763217,0.016820210435265534
4,0.07536289194014127,0.13556720872358796,0.06746881688132919,0.0939189753100475,0.02373287303967996
5,0.06214770832732349,0.06407909852969253,0.1066662992861514,0.06445105753839493,0.06578755555575129
6,0.06770386150319775,0.05800110720633213,0.19780933127424077,0.035921914427572345,0.05912009467186681
7,0.06911088116491847,0.08512512995030563,0.05845748849577828,0.03629877306652333,0.09106752813543856
8,0.05496986011720796,0.0730329801268795,0.012248029632963743,0.028227733272497176,0.10028651276028873
9,0.04848745661625149,0.035199026283818734,0.03320817989416358,0.03271397786336043,0.08744606828344922
10,0.049003321618996384,0.022387511646255943,0.04374315565695894,0.04792884371588839,0.07438640664200483
11,0.04847058317050779,0.018711385133178556,0.04380225400608083,0.06585576501505452,0.08426216192826545
12,0.04355592371903296,0.017399990839342995,0.07573319938808573,0.09775442238424156,0.07840330519147204
13,0.043928570878051174,0.015930487128946597,0.08320810832653074,0.1968497744738733,0.07251367437255556
14,0.03901572814341008,0.01325465591493273,0.08988622177730399,0.058599192408810175,0.049418000999304365
15,0.26820936571478776,0.16740104233302555,0.07597132692336912,0.034008966653667046,0.07554560961199552
16,0.0032985797238105955,0.0013666940532141684,0.026219050026656192,0.0415264032816292,0.070683277110535
17,0.05802210955397069,0.09943218790621514,0.06104463089709037,0.06739463427728472,0.0464779200640189
18,0.11692876752388542,0.16985410552680494,0.08593004561170398,0.08634593613656778,0.024896204911565526
19,0.08862181438703204,0.1636539537593817,0.16189630774874872,0.10722039792044277,0.04180937069149087
20,0.08950988613259302,0.07579367403783924,0.20140846752998517,0.09345761181231488,0.08129791315388869
21,0.0653198610751132,0.06295969817396836,0.009932568976334015,0.05083619622215386,0.10950976391709694
22,0.07093431434574302,0.08146483089449191,0.025346282744118848,0.03976308691239395,0.15030089234928792
23,0.06893573314653814,0.058459470368687816,0.06538548308922898,0.04813278394348227,0.08149722901136032
24,0.0627025226379433,0.0345147020837632,0.06435821229778566,0.07468121023729846,0.05924498019118027
25,0.044720549313512256,0.02186727000750249,0.06776185881181435,0.12807820646667514,0.0847891749661265
26,0.04474174434323925,0.020039102352505164,0.11264406839751702,0.20019068920511263,0.09665679510450967
27,0.04880015211975621,0.0186272105865485,0.09272456656989989,0.022357205506347608,0.05603173110653029
28,0.034379081419523075,0.017511278508416023,0.025284789631897935,0.02919323569159327,0.06718783134437706
29,0.033053428651143905,0.00713289823148672,5.648337792180366e-05,0.008054992128661427,0.0249893804643264
30,0.019857568299194106,0.006695675046832758,2.532393162186129e-06,0.0020204643792476767,0.0046176262491579795
31,0.15017388732700176,0.1606272484623419,4.651896134885389e-06,0.0007469458787943782,9.909364547684853e-06
32,0.045401845652178224,0.05663298180046107,0.12747332233907688,0.0883660151516386,0.11340296056579388
33,0.10069582456813338,0.17505030103548455,0.2557930145145766,0.12470238875141787,0.04010374884473325
34,0.1525007988048866,0.20225681923931754,0.18236294412946122,0.10048436973909083,0.09563717654457815
35,0.13401457645504156,0.09536577006002213,0.018296925960971638,0.13178227188257446,0.17083948172702168
36,0.07831935085294305,0.08706984274278878,0.042110174957538375,0.09440703904003361,0.16794013929043225
37,0.07608952362161289,0.09380543050793862,0.053520477922045895,0.14370111793046664,0.052512750599571605
38,0.07093238752485874,0.04044465851118624,0.07924053639170088,0.22790299789106702,0.07579868377213834
39,0.06456182221322794,0.025959259519431052,0.13170822690859316,0.025183796691549448,0.11367981720085114
40,0.05576090266823954,0.018286355972120773,0.09406340429833,0.02665442896846378,0.07808471912126398
41,0.04160410921529063,0.01654018830875554,0.015351945395437596,0.02907035957120198,0.0706510441497424
42,0.03312981333619897,0.01456437112199771,7.773345967406118e-05,0.006176754656685661,0.02006021480419426
43,0.024565011927571795,0.006792814345412702,1.101040505298317e-06,0.0015624865810688418,0.0012846940615820763
44,0.011380877657003421,0.006110637174342497,8.257803789737377e-08,5.83551467808108e-06,1.5965087326825597e-06
45,0.008111117668419009,0.006588571331679864,8.257803789737377e-08,5.505202526491585e-08,6.881503158114481e-07
46,0.005386400255969897,0.005298592275672356,0.0,2.7526012632457924e-08,8.257803789737377e-07
47,0.09754563757842437,0.14923340605338858,2.7526012632457924e-08,5.505202526491585e-08,1.45887866952027e-06
