,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
800_0206,0.00433743896657219,0.010834431254223866,0.06044549970613229,0.1428313234572936,0.041134818225919856,0.04154858924781096,0.034414122033604194,0.03056637083176343,0.05013177803287663,0.1254312500399127,0.16193044000441298,0.08638048128242151,0.06663788913799319,0.06057432144525219,0.044465107916283046,0.03833613841752733,0.005759735565303924,0.012831333366658159,0.11014949597668788,0.12046423611241094,0.04688065315484439,0.04095702771032681,0.024657196543877897,0.052202092021001685,0.11178608258376331,0.17053306215439715,0.17443495702308595,0.08064240868905934,0.03767122005637768,0.010347385986705156,0.000500175175544393,0.00018293787995531536,0.006167753650554848,0.02575531929183717,0.172686972642887,0.07836286947891496,0.054839441869355375,0.04872585941166121,0.08660459807727498,0.17818975288026692,0.2243253869772012,0.11215630745366986,0.011178561464154855,0.0005850653985028932,0.00011940784279960248,0.00010355285952330671,7.156763284439061e-05,0.00012758306855144248
800_0207,0.0045227991356391615,0.011164743405813362,0.06469163488880261,0.14110698392194593,0.039876796870578636,0.03854126226366441,0.03066769408426351,0.029865310816027363,0.05118974032840515,0.1242705881912525,0.17022512865107783,0.08594854309219298,0.06404829692155681,0.061904873843879944,0.04382738525561426,0.03814821832928554,0.006000753331913725,0.013320002668922184,0.11594347390170659,0.11606211101615248,0.0444666768990031,0.03599857437275374,0.02477013577370887,0.04951147933820419,0.11834242095465057,0.17252330297177437,0.17578532815080908,0.07929234034747518,0.037617516805731756,0.009621827819726198,0.0005539610042282157,0.00019009464323975443,0.006455895950791417,0.028057622514428584,0.17439900805058797,0.07446273627503464,0.04918914973027811,0.04665224230202025,0.09198392414799834,0.1786605853263451,0.22812455476674567,0.11098914946602839,0.0100472973969861,0.0005408586222151657,0.00013270290690107966,9.98368478179249e-05,6.732862689899209e-05,0.00013710706892227292
800_0208,0.011941582534326589,0.026388665316497396,0.10392157046251849,0.2116529612814702,0.06231980095830161,0.08038715997391856,0.04815775003693991,0.02022886668359333,0.0335522550520693,0.07093552549029884,0.06224104903616015,0.03872241095279862,0.06873327932362641,0.07084623110531915,0.04276149546844759,0.047209396323713834,0.01620632530153646,0.030420015022596655,0.19299128812710586,0.14869097844845336,0.09616278575579494,0.0588058852376673,0.02035270621442676,0.028389861486902354,0.05586090467213326,0.13531917182375688,0.11371235294778272,0.0609020186256416,0.03781143756472742,0.003716975115823956,0.00019328766070511954,0.00046400599494534326,0.017442160690695922,0.050848225089674244,0.2745536712103672,0.11172343337901183,0.08796110750581515,0.029782237309902603,0.06611316075918064,0.16079358815667982,0.15821228127004583,0.03773797063701139,0.003303121515894951,0.0004431688033825726,0.0003694816675654827,0.00020074721012851564,0.00019342529076828185,0.0003222195038755525
800_0215,0.0016762240652661577,0.008281366056550762,0.0362262420232368,0.07149028474889339,0.10710657785820757,0.10589284585719197,0.07076557988830605,0.05900696275994741,0.07124915687823306,0.05618298654594565,0.04670693648912095,0.05421699614569761,0.06855394735132594,0.07933376699648702,0.10012554063841411,0.06318458569717554,0.0012541677135726804,0.012632210191274959,0.05706750743587705,0.09291455110908911,0.13445546059937563,0.10531606578849144,0.06686866722790372,0.07753973159715394,0.0432161426190979,0.044750194829117414,0.04946809834229544,0.06367664069899336,0.0744292921696862,0.09625031847596616,0.07393737479793154,0.006223576404173472,0.00406743630866041,0.03209577114564806,0.08032850204099878,0.1407427321967806,0.13926527346873344,0.09234294593076349,0.07678419760241824,0.046130706940673075,0.05112546708890836,0.06388451714639369,0.08033051143992095,0.1007735305017948,0.08349900322803055,0.007549697114767397,0.0006085450872783798,0.0004711627582297823
800_0216,0.003197999673651594,0.014358008605292173,0.053102605524272546,0.10751264159656158,0.1436945392134475,0.10236010234391704,0.04830941836654475,0.05075537984906496,0.048217041068150224,0.05368257861043844,0.05831330724160946,0.0674254083594078,0.07786316224558533,0.09814435587919296,0.0562831812319278,0.016780270190935836,0.002411388810653844,0.020463691097360827,0.07515864892640843,0.14084383524117963,0.15741565093844986,0.0699934752339656,0.059896493384177914,0.04479049291161133,0.049319182613953835,0.05212556970588345,0.06314670990379329,0.07168445324200276,0.091084869523397,0.08451548382252196,0.013898792136544878,0.0032512625080954004,0.003968617923309887,0.04234989900155445,0.1076473263763722,0.18000886447710815,0.12758075636638136,0.07020691193591769,0.05132423242612734,0.055620602581851905,0.06361836813025044,0.07785372082325238,0.09305873236325793,0.09993525331308593,0.023645395371534008,0.0022512149431455713,0.00027605838069092055,0.0006540455861598327
800_0218,0.00909528272407991,0.03299744074144949,0.11646677092786224,0.22211006595452834,0.1424205252447668,0.06558958847289866,0.0718097516515057,0.06378506566275262,0.049554117131771866,0.054542271036975364,0.0489715290744059,0.06694177631745553,0.03338792475665353,0.004347045544980918,0.0033284454475168124,0.014652399310396311,0.008524998794360647,0.04720408380327577,0.158109141300712,0.26214447677344044,0.09271782269680494,0.08724749562831867,0.05964237323555507,0.04088515729134347,0.052592025515953086,0.050016581670009795,0.058479867144048465,0.06324748263604071,0.013750371876430665,0.0036930825368589825,0.0008765383462679901,0.0008685007505793125,0.012140292819520303,0.08945899053523561,0.2372188465543708,0.21123709828261905,0.10121727735144266,0.06742532578136991,0.04730931574956966,0.06178920953879836,0.05483173458581829,0.07572890533011506,0.03487900886095378,0.004793132105702531,0.0008344785989655945,0.0002584967846314124,0.00017484523224137275,0.0007030418886456079
800_0219,0.009536111816388724,0.033514847200901796,0.12236121879898942,0.22821497771824328,0.14066981578931723,0.06975421913216427,0.07669556384174173,0.06677433558261228,0.04922694294562247,0.04773723514195385,0.046598373895298535,0.0641950931469257,0.023688143269152213,0.0037793490604491058,0.0029775988905035035,0.014276173769735875,0.009179016854507846,0.04757463898533392,0.16723288592185387,0.26525887994672726,0.09321224493570915,0.09501841930661313,0.06138254022816642,0.03976578446163193,0.05190249889951001,0.04198292220113852,0.05944498419896771,0.05245087212317384,0.00997305974091636,0.0039348435058098605,0.0008401489575678808,0.0008462597323722864,0.012495405908491642,0.09136646063262704,0.2474730569883151,0.21275119413348,0.11058713205153134,0.06724252553147776,0.04593103324503722,0.0576538940829863,0.050517197261756304,0.07351741042319813,0.02385530874386913,0.004739291224993444,0.0007666545038392181,0.00025224837976384445,0.00017798319768147294,0.0006732036909520235
800_0226,0.00498708039071083,0.01326035379954765,0.08802427970480664,0.07040820966629885,0.03843963622502537,0.05137391687892893,0.03151398134264843,0.04781678531846165,0.11568962901321006,0.1266356231966333,0.0625718291299644,0.06207999433624764,0.08192668986045193,0.0726189613708747,0.09205761128381543,0.04059541848237421,0.006625291032531563,0.02013937961652521,0.1256999865012434,0.05007471660868954,0.064220609760636,0.029174380372940036,0.03698747390258742,0.11780035118787957,0.1812035484773821,0.15045699236692658,0.08757508270465755,0.10526654649176564,0.02216336732538984,0.0025689477069620334,3.52608221821786e-05,8.065121701310172e-06,0.007561533300199355,0.05978091165713423,0.11940652155099613,0.07674808347384446,0.042754311179150524,0.09405269667941599,0.20895475141918615,0.23216474032289994,0.14240307375275782,0.015274789982028816,0.0007396790114594094,5.059281121845767e-05,5.9153401147152084e-05,4.506008267933363e-05,2.6975492379808766e-06,1.4038266442553543e-06
800_0230,0.016051188694339927,0.03331575155153123,0.12619779443970142,0.21216274303542335,0.16555115665406123,0.10047856175042538,0.06507000745844839,0.04533267278243285,0.025586392152311777,0.027672395967637337,0.055187370669029644,0.03691769546056414,0.02124314519707414,0.023512802568683457,0.02783661615900258,0.01788370545933318,0.016473960722361847,0.04305027086697471,0.1841246639899638,0.23897228108507101,0.13755373352925981,0.10321731742931706,0.039439738842000464,0.03026215334014951,0.026351807985582534,0.05464430996580388,0.07565296106126211,0.037685808843072884,0.0065783316549805895,0.0038396310281141885,0.0015166557700357992,0.0006363738860497948,0.018042475500197195,0.0856147626630118,0.2425260269459845,0.23606850696044776,0.13941608849194667,0.04817176077736983,0.04327554375435874,0.05581378013850649,0.07749205654327453,0.04043948362081134,0.006674094652928911,0.0041731361971690485,0.001449684981301029,0.0002686263572801569,0.0002484222640079328,0.0003255501514040799
800_0232,0.010396630023304623,0.0232568106512016,0.08473291179630575,0.19044160862898657,0.17102698892507398,0.09456955261861565,0.08461077887825554,0.059590073811553394,0.04008695797702745,0.026396482704085015,0.037621700759651884,0.062268052054552596,0.03264879626544677,0.022739734503900877,0.025436733221629104,0.03417618718040923,0.010281956654677803,0.029668637455768452,0.13878981665253298,0.2152274892819212,0.15115730918032158,0.11245240477155721,0.06338869108084522,0.033038867390461336,0.03750014588786695,0.034836536223461896,0.07230166902326036,0.07387040400919677,0.021060427525219885,0.002646818796699257,0.002048155547955929,0.0017306705182531597,0.01115766922056682,0.05363506871263481,0.20653169157917614,0.2338791154416747,0.14279732883169252,0.07912633096528882,0.0447557826096818,0.059238098688022156,0.0688614129124305,0.07149424849471248,0.02178070069777341,0.002845198769741381,0.0022491780182107694,0.00095022548208508,0.0002063349906929046,0.0004916145856156985
