,R0-15,R16-31,R32-47,R48-63,R64-79,R80-95,R96-111,R112-127,R128-143,R144-159,R160-175,R176-191,R192-207,R208-223,R224-239,R240-255,G0-15,G16-31,G32-47,G48-63,G64-79,G80-95,G96-111,G112-127,G128-143,G144-159,G160-175,G176-191,G192-207,G208-223,G224-239,G240-255,B0-15,B16-31,B32-47,B48-63,B64-79,B80-95,B96-111,B112-127,B128-143,B144-159,B160-175,B176-191,B192-207,B208-223,B224-239,B240-255,Exposure,Contrast,Highlights,Shadows,Temperature
800_7126,0.18006991717312695,0.09558468443848804,0.08721006025113852,0.16231035403076616,0.2538520177337988,0.12990345636433345,0.03218770802784047,0.006953703889249418,0.00437663600856081,0.0039130153777923215,0.003839163085899437,0.004098953593124574,0.004070932112264732,0.00455481188833071,0.005175963889394756,0.02189862213589086,0.20606311626613386,0.10553982474518067,0.11636839295871385,0.1185159724642982,0.0970399021483282,0.15530137790815074,0.11266793345046935,0.0327066559440002,0.006441527372197275,0.0051874422366624895,0.005090963562385726,0.005087908174983523,0.0052329427355439434,0.0058306976258704,0.00702147293235053,0.01590386947473101,0.2473889374937103,0.12657743320592826,0.1408259983849938,0.07445090008960267,0.0293998459424125,0.020276872049624337,0.053332943197980966,0.12539219062798726,0.09194095604227907,0.03568329142406157,0.012683243418695535,0.007355446043620142,0.007356436980074909,0.00839959028080717,0.008318498647591948,0.010617416170629569,0.85,68,-19,35,4674
800_7949,0.22270424246321255,0.24481506263048705,0.15712442572479846,0.0697912966711802,0.04567322461072162,0.051882294806237794,0.05029178674430911,0.0454560994230768,0.03501495983734549,0.020381746157754,0.013789128502217165,0.010767405413463832,0.008349905828005582,0.007014701533242945,0.0053474234220823365,0.011596296231865037,0.16095981774696724,0.2066551457458327,0.2239870922819483,0.09825052370991634,0.06409264132790769,0.058782047710727585,0.05105073396461124,0.03876595710478317,0.028943464652966343,0.020791223121674446,0.01062641717676038,0.008803011521948472,0.006475164159634139,0.0056827177819583075,0.004411979408780886,0.011722062583582738,0.12556257664618214,0.13407491347473188,0.232455690276425,0.19193552791258794,0.11330582126721395,0.07786800682380864,0.03963547631782988,0.018440446590837274,0.01191493735409837,0.009526367607916834,0.008045192868164273,0.007354592737228536,0.006401779809956005,0.005729512003433484,0.00489536371661948,0.012853794592966246,0.75,47,-60,19,6202
800_7960,0.15487290799551393,0.14547134332887265,0.0806415278566551,0.11108149923841028,0.10765907998376624,0.07690294482091466,0.0584851521384739,0.04749968565293574,0.042622076214464184,0.038886355884037535,0.03562534916747024,0.03100356649040476,0.024532503706652862,0.0175047273174095,0.010903026077703952,0.01630825412631445,0.09445878794378264,0.1951095799552493,0.08459445595276448,0.1158274792844734,0.13613278570514709,0.08622231681383541,0.050834930025572767,0.04564825851726399,0.044659854455657684,0.04177350429703078,0.036309618315500516,0.02846357614873208,0.01881482788865133,0.00995657165934952,0.004679752459669437,0.006513700577319578,0.16394091244107506,0.3177572619677047,0.23777035774347474,0.11308591595229325,0.06175458181490673,0.039418516286260835,0.02567268620191453,0.015602211902291904,0.00924747404792477,0.005102276753577666,0.00332830781745365,0.002454191760297316,0.0020532753863055663,0.0009030458964330473,0.00045508756685242683,0.0014538964612337954,0.75,34,-68,0,5238
800_7966,0.013458623668539242,0.08457843581341239,0.038848672772743696,0.032244246457787534,0.03413247587234889,0.052384149068552766,0.07050284409772924,0.10023077258470801,0.13234069210084914,0.10203089123283283,0.0868148417617617,0.07761911661758596,0.06229967944306729,0.04458501122731003,0.026449993272642514,0.04147955400812876,0.01012401239419276,0.08326104084882295,0.04542240758361467,0.04958657030066554,0.05414619924120693,0.08647643696245826,0.09666871386797952,0.08963592774443704,0.12094277584202626,0.0968360995507975,0.08934079383699184,0.07014384984097671,0.047623332501680736,0.02506240697584031,0.009671181960376194,0.02505825054793281,0.02604048878270944,0.12362914951887835,0.17258474103197002,0.16974785511804366,0.15240305393402873,0.1291751180700786,0.0984546015675734,0.06146470537587431,0.02183228444544664,0.011460895775725977,0.006960860652533858,0.0036946790455916648,0.002778338085057141,0.00221132975084114,0.0015706342808080491,0.015991264564839063,-0.2,49,-42,0,5076
800_7970,0.022646393795064213,0.08487538643769135,0.07889558040139093,0.08495997387451089,0.08932788413706721,0.09819990337268523,0.1087175652735348,0.11939273101866725,0.12575104725467662,0.09492447302549856,0.03615327056374816,0.01803972289893395,0.008672125331881135,0.005539995406459012,0.003390213819864048,0.02051373338832664,0.014982463727872113,0.09433461810079763,0.0926443557690889,0.12213575322951695,0.09825044113187843,0.0947816130199361,0.11428349018389357,0.11246517684141867,0.1432961277066053,0.05561727193432337,0.020707764251372832,0.008837694297865368,0.004859607426209917,0.0027285710542176572,0.004123837108544318,0.015951214216458842,0.06852289800907654,0.2067860319359001,0.1968867419088387,0.1184153924141392,0.09342458059715593,0.08864105506986213,0.07526836761276141,0.08975671188786828,0.028695207545034213,0.0059814025450331074,0.005004641986770338,0.003326380996569378,0.004240409772042776,0.0030812068020520753,0.002369852057591465,0.00959911885930442,-0.2,49,-42,0,5076
CAR_0426,0.1258841905777798,0.10196218630530224,0.07177088492166868,0.08109325724996637,0.04873141966621297,0.04163499340146425,0.04422411767568588,0.050618245254130056,0.05315930911029541,0.05382342921707872,0.061765922532111286,0.060193609164532674,0.0513370044959888,0.06256373648225046,0.06628184016459235,0.024955853780940063,0.03352712380253587,0.0722690506982909,0.13186003286826115,0.11543707784730728,0.07910954009758303,0.09834667207204152,0.07498479463062183,0.06911613863333127,0.0590061094535558,0.04310964447622292,0.03342753468883164,0.03073455476894775,0.02425016939508174,0.023379521615517096,0.047079776330227585,0.06436225862164263,0.0778683921879855,0.08469798128627516,0.15530289183884555,0.19775697679821386,0.0805061824525413,0.05755675478440636,0.0538744624444993,0.04140875710363808,0.041556296531348055,0.03422488069675605,0.02086204755217776,0.02117727544884467,0.022256487826125444,0.03410007775548048,0.057938045111391175,0.01891249018147129,0.55,45,-26,40,5233
CAR_0433,0.09154114070879264,0.07000165045971744,0.08342716033505984,0.0966961022505488,0.05511065567182299,0.045692740553678036,0.043619178496062345,0.045639009777019485,0.047748630911183684,0.056884211717757524,0.07288172468746415,0.06485472651364993,0.0649563800783016,0.09803293058005676,0.040623715223360383,0.022290042035524413,0.052794259130763764,0.11275453028621107,0.1371073717084119,0.07611104896349148,0.06362145104366529,0.06994178138224184,0.07929718492569847,0.07083389945165981,0.05527446297299874,0.0441543392336626,0.032082200821420256,0.03179221427833732,0.0318503767430297,0.042182403214685936,0.08878061195390867,0.011421863889813151,0.09386172120377198,0.10124857442780576,0.1681484836800473,0.1355473899944926,0.05750654733736476,0.04915171435309797,0.0434876867337171,0.04620516480484387,0.045523923518203176,0.03280131790144322,0.033610472568786964,0.03667431045686795,0.04112540432959956,0.0913975375008891,0.020235417874599853,0.0034743333144688394,0.55,45,-26,40,5233
CAR_0844,0.0025910235690932647,0.019036604972431048,0.051802689577704716,0.1590616514418456,0.3033458804239182,0.231206642401202,0.09363019991152037,0.038457638237287005,0.020782827687821543,0.012903286363679404,0.010387463861098015,0.009821061099159928,0.0105504453818948,0.010171219505857426,0.008859742633983968,0.017391622931502728,0.013367787826852131,0.04435709584271328,0.07745371280767753,0.17805916947633854,0.35040611328517673,0.2232476059525773,0.0576791629625829,0.02328095096428026,0.013311304448930328,0.008167573520328179,0.004329649104997204,0.002624963142669085,0.0017524711202580663,0.0010024423280488527,0.0005186451300207721,0.0004413520865488304,0.07140404575131591,0.2871922949625855,0.3914149449512779,0.1536296681089563,0.049739394722800936,0.022361086674128783,0.011934948765282168,0.0043545326204169465,0.0018566570780719194,0.0014440146226987428,0.0012702979569753007,0.0013995876383099558,0.0010393271849763464,0.0004446552080647254,0.0002543128307112788,0.00026023092342725715,0.25,49,-42,0,5076
