,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
800_1730,1.1505873280367413e-05,0.003471250401054004,0.043266047280000546,0.08328504353183845,0.07536289194014127,0.06214770832732349,0.06770386150319775,0.06911088116491847,0.05496986011720796,0.04848745661625149,0.049003321618996384,0.04847058317050779,0.04355592371903296,0.043928570878051174,0.03901572814341008,0.26820936571478776,0.0032985797238105955,0.05802210955397069,0.11692876752388542,0.08862181438703204,0.08950988613259302,0.0653198610751132,0.07093431434574302,0.06893573314653814,0.0627025226379433,0.044720549313512256,0.04474174434323925,0.04880015211975621,0.034379081419523075,0.033053428651143905,0.019857568299194106,0.15017388732700176,0.045401845652178224,0.10069582456813338,0.1525007988048866,0.13401457645504156,0.07831935085294305,0.07608952362161289,0.07093238752485874,0.06456182221322794,0.05576090266823954,0.04160410921529063,0.03312981333619897,0.024565011927571795,0.011380877657003421,0.008111117668419009,0.005386400255969897,0.09754563757842437
800_1737,0.0003036944973739083,0.02344404258912758,0.0963717081916753,0.17379093090552433,0.13556720872358796,0.06407909852969253,0.05800110720633213,0.08512512995030563,0.0730329801268795,0.035199026283818734,0.022387511646255943,0.018711385133178556,0.017399990839342995,0.015930487128946597,0.01325465591493273,0.16740104233302555,0.0013666940532141684,0.09943218790621514,0.16985410552680494,0.1636539537593817,0.07579367403783924,0.06295969817396836,0.08146483089449191,0.058459470368687816,0.0345147020837632,0.02186727000750249,0.020039102352505164,0.0186272105865485,0.017511278508416023,0.00713289823148672,0.006695675046832758,0.1606272484623419,0.05663298180046107,0.17505030103548455,0.20225681923931754,0.09536577006002213,0.08706984274278878,0.09380543050793862,0.04044465851118624,0.025959259519431052,0.018286355972120773,0.01654018830875554,0.01456437112199771,0.006792814345412702,0.006110637174342497,0.006588571331679864,0.005298592275672356,0.14923340605338858
800_1743,0.008440851773743223,0.028975477405657896,0.042024514006226164,0.032356745271416396,0.06746881688132919,0.1066662992861514,0.19780933127424077,0.05845748849577828,0.012248029632963743,0.03320817989416358,0.04374315565695894,0.04380225400608083,0.07573319938808573,0.08320810832653074,0.08988622177730399,0.07597132692336912,0.026219050026656192,0.06104463089709037,0.08593004561170398,0.16189630774874872,0.20140846752998517,0.009932568976334015,0.025346282744118848,0.06538548308922898,0.06435821229778566,0.06776185881181435,0.11264406839751702,0.09272456656989989,0.025284789631897935,5.648337792180366e-05,2.532393162186129e-06,4.651896134885389e-06,0.12747332233907688,0.2557930145145766,0.18236294412946122,0.018296925960971638,0.042110174957538375,0.053520477922045895,0.07924053639170088,0.13170822690859316,0.09406340429833,0.015351945395437596,7.773345967406118e-05,1.101040505298317e-06,8.257803789737377e-08,8.257803789737377e-08,0.0,2.7526012632457924e-08
800_1746,0.026979428599615208,0.043292389674089805,0.07105413507873211,0.06614465051763217,0.0939189753100475,0.06445105753839493,0.035921914427572345,0.03629877306652333,0.028227733272497176,0.03271397786336043,0.04792884371588839,0.06585576501505452,0.09775442238424156,0.1968497744738733,0.058599192408810175,0.034008966653667046,0.0415264032816292,0.06739463427728472,0.08634593613656778,0.10722039792044277,0.09345761181231488,0.05083619622215386,0.03976308691239395,0.04813278394348227,0.07468121023729846,0.12807820646667514,0.20019068920511263,0.022357205506347608,0.02919323569159327,0.008054992128661427,0.0020204643792476767,0.0007469458787943782,0.0883660151516386,0.12470238875141787,0.10048436973909083,0.13178227188257446,0.09440703904003361,0.14370111793046664,0.22790299789106702,0.025183796691549448,0.02665442896846378,0.02907035957120198,0.006176754656685661,0.0015624865810688418,5.83551467808108e-06,5.505202526491585e-08,2.7526012632457924e-08,5.505202526491585e-08
800_1747,0.014787772240522738,0.07259570189020027,0.03382652424193912,0.016820210435265534,0.02373287303967996,0.06578755555575129,0.05912009467186681,0.09106752813543856,0.10028651276028873,0.08744606828344922,0.07438640664200483,0.08426216192826545,0.07840330519147204,0.07251367437255556,0.049418000999304365,0.07554560961199552,0.070683277110535,0.0464779200640189,0.024896204911565526,0.04180937069149087,0.08129791315388869,0.10950976391709694,0.15030089234928792,0.08149722901136032,0.05924498019118027,0.0847891749661265,0.09665679510450967,0.05603173110653029,0.06718783134437706,0.0249893804643264,0.0046176262491579795,9.909364547684853e-06,0.11340296056579388,0.04010374884473325,0.09563717654457815,0.17083948172702168,0.16794013929043225,0.052512750599571605,0.07579868377213834,0.11367981720085114,0.07808471912126398,0.0706510441497424,0.02006021480419426,0.0012846940615820763,1.5965087326825597e-06,6.881503158114481e-07,8.257803789737377e-07,1.45887866952027e-06
800_1749,0.028750699986501243,0.04677308149747675,0.07028043391565898,0.06863000172422944,0.09124622700944847,0.14119743439945617,0.12437436125887687,0.09351442550238827,0.21864789913764304,0.04909393725258244,0.014056323506840435,0.010931047558563793,0.01081934699930128,0.007774391955886152,0.00592073521319117,0.01798965308195551,0.052014584822949385,0.07485041263695016,0.10872042797884857,0.14717993798499457,0.1563954818582657,0.09012704686182536,0.19633220285834518,0.10809371572323277,0.016320695884024322,0.011315696059089761,0.011588644000353214,0.010440093597251274,0.005696700996375595,0.0030164380943279016,0.0018461421412463207,0.006061778501919884,0.12927368872131542,0.18170529263564653,0.19482190559722748,0.10576173945902356,0.17224374878747914,0.15713450024542192,0.016421551194309648,0.010684937479616987,0.010394950936534043,0.007362107338677197,0.00478203912261165,0.002913022864867757,0.0016863536379149024,0.0008967699655528467,0.0007862254988208957,0.0031311665149799865
800_1750,0.00016292646877151846,0.002723698949981712,0.0107285386836268,0.03362921778338966,0.1054946270324382,0.07011153430214621,0.059162980199548174,0.1268111015271652,0.11802047671090134,0.09971878874974428,0.10153002790697264,0.132814469830279,0.0654016133326316,0.027489678295783082,0.02155369367159353,0.024646626555027033,0.0008526182412903842,0.01399199521531838,0.07781636802411014,0.12022635631124125,0.07084636873538232,0.14142166129836017,0.12237016475309496,0.10980627412517377,0.12101654555588122,0.1462604865850326,0.041576996092847665,0.014425172076115371,0.004944387545117887,0.005513460330281323,0.005151630894227663,0.0037795142165249003,0.04089597501430802,0.132408406091925,0.11664313009079841,0.16430359518352033,0.12215246151918487,0.1434898282574999,0.17331993330337034,0.06811653148458356,0.01743935303740741,0.006090322977019743,0.006271939608368701,0.0059108533746561175,0.0026502320222656817,0.00030556626623291544,1.7616648084773071e-06,1.101040505298317e-07
800_1753,0.037969161617111405,0.06699787433120047,0.0769520787534636,0.08315192773474789,0.07066918379206719,0.05603252936089664,0.0647835442449824,0.09472229446271316,0.09839811818965158,0.06966140141756763,0.04279026015164851,0.03141389676071681,0.0264420107289791,0.024020767605802837,0.022780693210697974,0.13321425763775283,0.08103355332856656,0.11910579986298651,0.09973227649593419,0.07169507828287888,0.06828633945651319,0.09191274187933081,0.09313921842419523,0.07471349825011632,0.045650405546249315,0.03460864836487778,0.0320578127742279,0.026030772100250177,0.02168471749172403,0.021752569112863038,0.015573061854914132,0.10302350677437191,0.20364101983656596,0.12491447667875095,0.10158736459128606,0.11007052384644536,0.09430378896664926,0.08602674449408179,0.0534532318731848,0.03460608844570296,0.02722804354571157,0.02184511156733336,0.01762559403887862,0.01890324144122679,0.014743840724361336,0.010761982788975237,0.009474233339990958,0.07081471382085498
800_1754,0.011640778268279089,0.06875059318557222,0.043490714595106665,0.020214498104999187,0.02806067790183079,0.08996263398837169,0.1584139368385912,0.14027016561190656,0.13852039204088648,0.09188981271080797,0.07841971069500099,0.06690395557609853,0.03099671251325928,0.00997685833065964,0.0063703726295423705,0.016118187009087327,0.05282896943269328,0.07425915388560497,0.04117500620436325,0.0675200427908382,0.19631648550513206,0.15001800751746416,0.13206218390503394,0.09539439711315988,0.0892172020402721,0.048812648929491345,0.024564241199218084,0.007779704476324216,0.006579763007637477,0.006856234278517885,0.005488301554735256,0.0011276581595139037,0.12251682334840071,0.0721788204288817,0.22240740194298417,0.19465083142871675,0.13174494660944486,0.13055444656309106,0.055309861425244085,0.0348134694248759,0.010067336334182529,0.009942120502717477,0.00746742186300898,0.006417304481080711,0.0017200730033896632,0.0001557697054870794,8.890902080283909e-06,4.448203641405201e-05
800_1755,0.11912278341278075,0.09392511361086454,0.04648452630705069,0.04495553888335555,0.06921124100697641,0.09037508376165644,0.12586784012627614,0.11739203031648969,0.08676474441877062,0.04660586097073456,0.054790583196932766,0.04456103607030716,0.024990481504831696,0.007370750506643788,0.006142484770958251,0.021439901135370948,0.19131701840873663,0.0788564659374402,0.0804789592260478,0.09550612519843503,0.12435790070332266,0.12928458902231788,0.09375219519950743,0.05267066733404402,0.05674311337700354,0.04028820065538335,0.022058190431121217,0.0064343981349254675,0.006126106793441938,0.005682607677907776,0.00507029152689875,0.011373170373466333,0.26742066287482996,0.1527817568158261,0.1430902331321145,0.13883567498957866,0.09991350776310629,0.07061036070307161,0.049943252372356924,0.03591729005745009,0.00872637910277971,0.0065253165546504755,0.006930912350789744,0.006203041998749659,0.005476492895315931,0.003471663291243491,0.001478532242539845,0.002674922855596996
800_1757,0.08146037168044545,0.07707366115126116,0.044155109962016305,0.038616931272391034,0.07704418079173181,0.08650897270938983,0.09699390618121938,0.10282661320601194,0.09754090310425158,0.07306716743456902,0.07376894312663353,0.05419717741660224,0.030329014024833748,0.009127047742657766,0.007726799480044632,0.04956320071594058,0.1334945274983765,0.0728076521874702,0.06807562782981173,0.11246162598578908,0.10722042544645541,0.10745293767516179,0.09300456117039725,0.0853859664460108,0.07346860680280078,0.05259180530785203,0.02628882846867947,0.00810484173753881,0.00625110241680593,0.005999459609319999,0.006306980222449819,0.04108505119508037,0.18927681787843148,0.15354320890327777,0.14540971258658858,0.11184328163801356,0.10014692835022954,0.1110591205901401,0.0674696701877208,0.04480967854241615,0.010780149957312659,0.007932969314661741,0.006609436049255267,0.007323515868966491,0.0068804571696344475,0.005372251885476813,0.004160446705345486,0.027382354372529127
800_1760,0.020787397005918532,0.05212790941695721,0.053259201010138604,0.0462851553975538,0.038814595569104715,0.09907289086332366,0.14098454821775674,0.12509083584168712,0.09078026666760622,0.10724062953972763,0.07050845940430625,0.0370165413719273,0.0384764660299276,0.0395677348007414,0.02279288723429415,0.017194481629029066,0.05322908755231869,0.09068442109162,0.04241177747795222,0.08234266296335363,0.1768918738586339,0.14773588086213232,0.09924944270834825,0.10706798638849686,0.06266343570000522,0.0384513623064068,0.04083737213341352,0.03138939860947392,0.012692602262990571,0.004883802791313847,0.003208514610477193,0.006260378683063068,0.15004355165718708,0.08801266372747574,0.2349220485343059,0.1388257105730057,0.13632059568933833,0.07900535413976917,0.06234501478587295,0.04095686255425102,0.03554142235495388,0.016749991577040133,0.0062855099325965025,0.0038679002430877228,0.002244223335936927,0.0018295990076542133,0.001549934719308441,0.0014996171682163078
800_1762,0.02624244713739378,0.07465841869883878,0.05944512182903087,0.07833250828698136,0.08176734177332262,0.12485171736994895,0.11233533663983138,0.09803392151651154,0.1176734287436313,0.06255594662067547,0.04998068774953707,0.03485993333419948,0.021756147494505256,0.013755381610729771,0.012161735583360988,0.03158992561150138,0.06808650060480155,0.10914980624990228,0.08714168563575951,0.13269324527064566,0.15401349082910332,0.11182951863169732,0.1218085239913423,0.06326961355019721,0.04818923979539144,0.03084036476150692,0.019173464307239627,0.012263141413898962,0.009879223563852312,0.007069230564267844,0.009960205093017004,0.014632745737376735,0.1758005225097822,0.16969406928935984,0.19192542586595185,0.14718637907195056,0.11105232166501988,0.07127998601238142,0.04517924278801953,0.027177258052404684,0.012745534785282788,0.012852803656511477,0.007221119101973747,0.009215433769220589,0.008720103171899508,0.003272402485797128,0.001970036724105014,0.004707361050339792
800_1763,0.012572506269875158,0.03576248376240515,0.052815509212516015,0.03843754424806531,0.0679301528530492,0.06032287131985469,0.05789978395383205,0.07511226759512274,0.0488422944450965,0.05178157712601563,0.056156038579578474,0.06232615946721971,0.037697149560277456,0.03859320384950186,0.04826964327829085,0.2554808144792992,0.02950857369231071,0.07150864459931924,0.062355777456812235,0.08288451252202356,0.08226129607001208,0.08173700810740166,0.04946523563698166,0.054837625152521635,0.057392094176839,0.05813226865652579,0.03761633318718856,0.04302626818395921,0.05081202838306256,0.03865568789817753,0.0262712118205947,0.17353543445626987,0.0807653398614759,0.12139194531616268,0.11894394690870767,0.08658538492045753,0.05699607743309582,0.06812922097640713,0.05846197523583737,0.05644349272949923,0.04736304652622822,0.054349699052598684,0.04417627746573066,0.030515337604342857,0.02835052681485057,0.017724495002267044,0.01315856260483282,0.11664467154750582
